booking_id,guest_id,room_id,checkin_date,checkout_date,total_price,payment_status,rating
1,227,84,2025-06-05,2025-06-10,1253.3,Completed,
2,276,35,2024-03-04,2024-03-13,3399.3,Completed,
3,316,95,2024-10-20,2024-10-30,1317.8,Completed,
4,272,29,2025-02-11,2025-02-22,1777.16,Completed,
5,170,92,2025-06-29,2025-07-07,1382.56,Completed,1.0
6,282,21,2024-11-04,2024-11-11,701.4,Completed,4.0
7,245,84,2024-07-20,2024-07-24,1002.64,Completed,
8,147,83,2025-06-28,2025-06-29,494.55,Completed,
9,294,30,2025-05-02,2025-05-11,1341.9,Completed,1.0
10,90,54,2025-07-10,2025-07-24,1982.68,Completed,4.0
11,254,24,2023-11-25,2023-12-07,705.12,Cancelled,1.0
12,5,39,2025-09-18,2025-09-28,2666.1,Completed,3.0
13,146,59,2025-09-03,2025-09-14,757.02,Completed,2.0
14,259,60,2024-12-18,2024-12-23,1750.6,Completed,
15,84,94,2024-03-29,2024-04-06,2530.8,Completed,1.0
16,378,44,2024-10-14,2024-10-27,1118.65,Completed,2.0
17,90,79,2025-02-05,2025-02-19,6053.32,Completed,4.0
18,264,42,2025-03-03,2025-03-05,621.26,Completed,
19,72,62,2024-01-06,2024-01-12,2288.7,Completed,
20,197,31,2024-05-17,2024-05-25,3494.72,Completed,3.0
21,299,93,2024-07-15,2024-07-25,4282.3,Pending,2.0
22,32,86,2024-06-19,2024-06-21,495.88,Completed,
23,352,65,2025-10-23,2025-11-04,4164.12,Completed,3.0
24,189,79,2024-05-25,2024-05-29,1729.52,Completed,
25,79,59,2025-05-18,2025-05-30,825.84,Cancelled,
26,360,71,2024-08-07,2024-08-15,3815.92,Completed,2.0
27,391,32,2025-01-25,2025-02-05,3219.26,Completed,1.0
28,270,58,2024-03-09,2024-03-18,595.89,Completed,
29,289,15,2024-03-17,2024-03-18,228.03,Completed,2.0
30,294,69,2024-08-02,2024-08-05,1364.34,Completed,4.0
31,60,88,2024-06-04,2024-06-08,1471.56,Completed,5.0
32,229,8,2024-03-23,2024-03-31,3587.6,Completed,5.0
33,30,72,2025-01-05,2025-01-13,2225.68,Completed,
34,12,51,2025-05-01,2025-05-06,604.95,Completed,5.0
35,38,6,2024-04-14,2024-04-21,654.64,Completed,
36,31,9,2025-09-10,2025-09-18,3183.04,Pending,2.0
37,393,83,2024-05-28,2024-06-09,5934.6,Completed,4.0
38,230,49,2024-08-08,2024-08-15,2306.64,Pending,5.0
39,69,84,2024-12-10,2024-12-24,3509.24,Completed,
40,276,51,2024-05-25,2024-06-03,1088.91,Completed,1.0
41,388,3,2024-02-26,2024-03-02,697.4,Completed,4.0
42,273,49,2025-10-28,2025-11-11,4613.28,Completed,2.0
43,142,25,2024-10-18,2024-10-30,5341.2,Completed,
44,339,54,2024-01-01,2024-01-11,1416.2,Completed,1.0
45,124,27,2025-02-03,2025-02-05,574.9,Completed,
46,307,87,2024-04-06,2024-04-18,5422.32,Completed,
47,23,52,2024-08-07,2024-08-15,1477.76,Completed,
48,398,8,2025-03-11,2025-03-14,1345.35,Completed,
49,375,74,2023-12-09,2023-12-15,1779.42,Completed,3.0
50,122,39,2025-11-06,2025-11-09,799.83,Cancelled,4.0
51,154,36,2025-03-02,2025-03-03,291.33,Completed,2.0
52,321,87,2025-03-12,2025-03-19,3163.02,Completed,
53,177,83,2024-02-13,2024-02-24,5440.05,Completed,4.0
54,210,20,2025-02-23,2025-02-28,2186.75,Completed,4.0
55,124,29,2025-04-27,2025-05-02,807.8,Completed,
56,238,8,2024-07-17,2024-07-26,4036.05,Completed,5.0
57,69,50,2024-03-01,2024-03-05,677.36,Completed,
58,41,58,2025-04-23,2025-05-07,926.94,Completed,2.0
59,27,35,2024-11-09,2024-11-16,2643.9,Completed,1.0
60,97,98,2024-03-29,2024-04-08,4015.5,Completed,4.0
61,107,43,2025-09-07,2025-09-12,1322.75,Cancelled,
62,98,95,2025-03-13,2025-03-15,263.56,Completed,2.0
63,357,78,2024-12-23,2025-01-04,4955.4,Completed,5.0
64,165,100,2025-05-23,2025-05-28,1823.8,Completed,3.0
65,158,34,2024-06-22,2024-06-28,1256.58,Completed,1.0
66,370,61,2025-02-09,2025-02-22,5707.91,Completed,3.0
67,161,53,2025-03-11,2025-03-12,384.09,Completed,
68,75,3,2025-07-20,2025-07-25,697.4,Completed,4.0
69,152,20,2025-04-30,2025-05-04,1749.4,Completed,
70,126,64,2025-06-10,2025-06-19,3757.14,Completed,3.0
71,391,63,2025-09-18,2025-09-30,4851.84,Completed,2.0
72,376,46,2025-07-14,2025-07-17,260.67,Completed,2.0
73,278,83,2025-07-08,2025-07-09,494.55,Completed,1.0
74,343,7,2025-09-07,2025-09-20,3786.9,Pending,
75,323,30,2024-06-30,2024-07-02,298.2,Completed,
76,259,59,2025-02-03,2025-02-09,412.92,Pending,5.0
77,248,85,2025-07-08,2025-07-16,3423.52,Pending,4.0
78,7,3,2024-05-15,2024-05-24,1255.32,Completed,3.0
79,9,65,2024-11-14,2024-11-28,4858.14,Completed,2.0
80,55,13,2025-06-24,2025-07-03,3863.52,Completed,
81,270,33,2025-09-19,2025-10-03,5643.12,Completed,1.0
82,192,52,2024-12-20,2024-12-28,1477.76,Completed,2.0
83,154,88,2024-01-25,2024-02-08,5150.46,Completed,1.0
84,48,52,2024-07-12,2024-07-19,1293.04,Completed,1.0
85,360,22,2024-03-08,2024-03-10,785.76,Completed,3.0
86,290,13,2024-02-28,2024-03-08,3863.52,Completed,
87,355,73,2025-08-25,2025-09-02,858.24,Completed,3.0
88,279,73,2024-06-24,2024-07-05,1180.08,Pending,3.0
89,9,27,2024-11-27,2024-12-07,2874.5,Completed,4.0
90,40,39,2025-02-04,2025-02-07,799.83,Completed,4.0
91,347,70,2024-12-06,2024-12-12,2799.06,Completed,1.0
92,257,96,2024-06-26,2024-07-02,1211.28,Pending,1.0
93,175,78,2024-08-25,2024-09-07,5368.35,Completed,3.0
