room_id,room_type,view,capacity,nightly_rate,status,floor
1,Single,Sea,3,160.2,available,2
2,Family,Sea,5,239.86,available,4
3,Double,Sea,5,139.48,available,9
4,Deluxe,Garden,4,315.17,occupied,1
5,Double,Mountain,3,175.04,available,6
6,Single,Sea,4,93.52,occupied,10
7,Suite,Sea,4,291.3,maintenance,7
8,Single,City,5,448.45,available,4
9,Single,Sea,2,397.88,maintenance,4
10,Single,Mountain,3,254.03,occupied,3
11,Suite,City,2,351.58,occupied,2
12,Family,Garden,5,378.11,available,7
13,Suite,Garden,3,429.28,occupied,4
14,Single,City,4,170.48,available,10
15,Suite,Garden,4,228.03,occupied,8
16,Double,City,2,160.98,available,5
17,Family,Mountain,5,229.73,available,3
18,Family,Mountain,1,390.1,occupied,3
19,Double,Mountain,5,78.59,available,8
20,Family,City,5,437.35,available,2
21,Family,City,3,100.2,available,8
22,Single,City,5,392.88,available,2
23,Suite,Garden,2,218.26,available,9
24,Single,City,4,58.76,occupied,5
25,Double,Sea,2,445.1,occupied,2
26,Deluxe,Sea,5,394.63,available,8
27,Family,Garden,3,287.45,available,4
28,Family,Garden,3,229.55,available,6
29,Deluxe,Mountain,1,161.56,available,1
30,Family,Garden,5,149.1,available,1
31,Double,Sea,1,436.84,available,4
32,Suite,Mountain,2,292.66,occupied,10
33,Family,Mountain,2,403.08,occupied,4
34,Single,Sea,4,209.43,available,1
35,Single,Sea,4,377.7,occupied,2
36,Double,Garden,2,291.33,available,3
37,Suite,Mountain,2,443.52,available,9
38,Single,Sea,5,426.21,maintenance,4
39,Double,Mountain,4,266.61,occupied,1
40,Double,Mountain,1,493.39,available,8
41,Suite,Mountain,5,347.84,available,4
42,Suite,Garden,1,310.63,available,6
43,Single,Sea,5,264.55,occupied,9
44,Double,Sea,5,86.05,available,10
45,Single,Garden,4,103.95,occupied,4
46,Family,Sea,5,86.89,available,10
47,Family,City,3,141.92,occupied,4
48,Suite,Mountain,2,352.26,available,6
49,Single,Sea,4,329.52,available,2
50,Single,Garden,5,169.34,occupied,2
51,Double,City,3,120.99,occupied,5
52,Family,Sea,5,184.72,available,3
53,Suite,Sea,1,384.09,available,5
54,Family,Garden,3,141.62,available,5
55,Family,Mountain,3,457.4,occupied,2
56,Deluxe,City,1,51.6,occupied,5
57,Double,Mountain,5,367.55,available,2
58,Single,Garden,5,66.21,available,9
59,Double,Mountain,2,68.82,available,1
60,Suite,Garden,2,350.12,available,9
61,Deluxe,Garden,2,439.07,maintenance,3
62,Deluxe,Sea,2,381.45,available,7
63,Double,City,2,404.32,available,1
64,Deluxe,Garden,2,417.46,available,5
65,Double,Garden,1,347.01,available,5
66,Single,City,3,338.67,available,9
67,Suite,Sea,1,444.67,available,10
68,Suite,Sea,1,318.46,available,6
69,Deluxe,Sea,4,454.78,available,1
70,Deluxe,Sea,5,466.51,available,4
71,Suite,Mountain,1,476.99,occupied,10
72,Suite,Sea,3,278.21,available,6
73,Deluxe,City,5,107.28,available,7
74,Double,City,4,296.57,available,5
75,Double,Mountain,5,323.0,available,8
76,Deluxe,Garden,5,262.93,occupied,3
77,Single,City,5,348.73,available,2
78,Double,City,2,412.95,available,1
79,Double,Mountain,5,432.38,available,7
80,Family,Garden,4,272.47,available,1
81,Single,Mountain,2,129.15,maintenance,9
82,Deluxe,Sea,5,162.14,occupied,8
83,Double,Mountain,5,494.55,available,8
84,Family,Mountain,5,250.66,available,8
85,Deluxe,City,2,427.94,available,9
86,Deluxe,Garden,3,247.94,occupied,4
87,Suite,City,3,451.86,available,3
88,Double,Mountain,2,367.89,available,7
89,Suite,Mountain,4,78.02,occupied,7
90,Family,Sea,5,221.17,available,6
91,Suite,Mountain,4,292.2,occupied,10
92,Double,Mountain,2,172.82,available,7
93,Suite,Mountain,2,428.23,occupied,10
94,Family,Sea,4,316.35,available,2
95,Deluxe,Garden,4,131.78,available,6
96,Double,Mountain,3,201.88,occupied,5
97,Deluxe,City,1,261.64,occupied,1
98,Suite,Garden,1,401.55,available,1
99,Double,Garden,1,329.6,available,8
100,Single,Garden,4,364.76,occupied,3
